Source,Target,Weight
요인,장소,0.06655142698755775
부족,관리,0.06674527815754808
부족,장소,0.06541560220764547
관리,장소,0.054824796494366376
균형,각목,0.4737618306665451
균형,인써트플레이트,0.4301366727371792
균형,과정,0.4252639722120136
균형,벽체,0.42227524582607245
균형,발의,0.4217909527362193
균형,상체,0.4217909527362193
균형,배관,0.4197607098408811
균형,반발력,0.41935202300528407
균형,바닥,0.41927638348890195
각목,인써트플레이트,0.14128673862799854
각목,과정,0.13641403810283292
각목,벽체,0.13342531171689176
각목,발의,0.1329410186270386
각목,상체,0.1329410186270386
각목,배관,0.1309107757317004
각목,반발력,0.13050208889610343
각목,바닥,0.13042644937972125
인써트플레이트,과정,0.09278888017346702
인써트플레이트,벽체,0.08980015378752587
인써트플레이트,발의,0.08931586069767272
인써트플레이트,상체,0.08931586069767272
인써트플레이트,배관,0.08728561780233451
인써트플레이트,반발력,0.08687693096673751
인써트플레이트,바닥,0.08680129145035535
과정,벽체,0.08492745326236026
과정,발의,0.08444316017250711
과정,상체,0.08444316017250711
과정,배관,0.0824129172771689
과정,반발력,0.0820042304415719
과정,바닥,0.08192859092518974
벽체,발의,0.08145443378656594
벽체,상체,0.08145443378656594
벽체,배관,0.07942419089122774
벽체,반발력,0.07901550405563076
벽체,바닥,0.07893986453924859
발의,상체,0.0809701406967128
발의,배관,0.07893989780137459
발의,반발력,0.0785312109657776
발의,바닥,0.07845557144939544
상체,배관,0.07893989780137459
상체,반발력,0.0785312109657776
상체,바닥,0.07845557144939544
배관,반발력,0.07650096807043939
배관,바닥,0.07642532855405723
반발력,바닥,0.07601664171846023
관리,자의,0.27290322392816746
관리,감독,0.24123936538529198
관리,부재,0.2288409893645868
관리,관리자,0.22261235491446618
관리,협조,0.20904592338507888
관리,부공,0.20371634280102896
관리,행정,0.20371634280102896
관리,결정,0.20059970053585247
관리,관계자,0.20059970053585247
자의,감독,0.220757068666171
자의,부재,0.20835869264546586
자의,관리자,0.2021300581953452
자의,협조,0.1885636266659579
자의,부공,0.183234046081908
자의,행정,0.183234046081908
자의,결정,0.18011740381673153
자의,관계자,0.18011740381673153
감독,부재,0.1766948341025904
감독,관리자,0.17046619965246976
감독,협조,0.15689976812308246
감독,부공,0.15157018753903254
감독,행정,0.15157018753903254
